Record ID,Date Time,Air Temp Avg,Air Temp Min,Air Temp Min Time,Air Temp Max,Air Temp Max Time,Humidity,Barometer,Battery,Min Battery,ETo,Rain Yearly,Solar Avg,Wind Speed Avg,Wind Speed Max,Wind Speed Max Time,Wind Speed Avg,Wind Direction
151878,2021-07-28 00:00:00,13.8,13.1,2021-07-27 23:57:10,14.6,2021-07-27 23:13:40,36,30.11,12.61,12.60,0.00,5.63,0,0.0,2.2,2021-07-27 23:54:40,0.0,205
151879,2021-07-28 01:00:00,13.7,12.8,2021-07-28 00:42:20,14.9,2021-07-28 01:00:00,41,30.11,12.61,12.59,0.00,5.63,0,0.0,0.0,2021-07-28 00:00:10,0.0,242
151880,2021-07-28 02:00:00,14.0,13.0,2021-07-28 01:23:40,15.6,2021-07-28 01:46:10,30,30.11,12.60,12.58,0.00,5.63,0,0.0,2.2,2021-07-28 01:33:00,0.0,233
151881,2021-07-28 03:00:00,13.6,12.7,2021-07-28 02:59:20,14.9,2021-07-28 02:04:20,35,30.11,12.58,12.57,0.00,5.63,0,0.0,2.2,2021-07-28 02:03:40,0.0,260
151882,2021-07-28 04:00:00,13.1,12.5,2021-07-28 03:59:40,13.8,2021-07-28 03:04:30,38,30.11,12.57,12.55,0.00,5.63,0,0.0,0.0,2021-07-28 03:00:10,0.0,261
151883,2021-07-28 05:00:00,12.9,12.1,2021-07-28 04:57:30,13.8,2021-07-28 04:53:10,39,30.11,12.54,12.52,0.00,5.63,0,0.0,0.0,2021-07-28 04:00:10,0.0,261
151884,2021-07-28 06:00:00,12.9,12.2,2021-07-28 05:59:40,13.5,2021-07-28 05:02:30,39,30.11,12.52,12.50,0.00,5.63,0,0.0,0.0,2021-07-28 05:00:10,0.0,261
151885,2021-07-28 07:00:00,12.8,12.0,2021-07-28 06:14:40,13.4,2021-07-28 06:42:10,41,30.11,12.49,12.47,0.00,5.63,4,0.0,0.0,2021-07-28 06:00:10,0.0,261
151886,2021-07-28 08:00:00,14.3,11.6,2021-07-28 07:08:00,16.9,2021-07-28 07:54:10,43,30.11,12.76,12.46,0.00,5.63,57,0.0,0.0,2021-07-28 07:00:10,0.0,261
151887,2021-07-28 09:00:00,17.1,14.9,2021-07-28 08:09:20,19.8,2021-07-28 08:53:10,20,30.11,13.55,12.74,0.01,5.63,224,0.0,0.0,2021-07-28 08:00:10,0.0,258
151888,2021-07-28 10:00:00,19.8,18.6,2021-07-28 09:01:10,21.8,2021-07-28 09:17:10,6,30.11,13.43,13.41,0.02,5.63,430,0.0,2.2,2021-07-28 09:44:50,0.0,197
151889,2021-07-28 11:00:00,20.6,19.8,2021-07-28 10:05:40,21.9,2021-07-28 10:49:00,4,30.11,13.37,13.36,0.03,5.63,573,2.2,4.5,2021-07-28 10:37:20,2.2,140
151890,2021-07-28 12:00:00,21.6,20.3,2021-07-28 11:08:50,23.6,2021-07-28 11:55:50,4,30.11,13.34,13.32,0.05,5.63,687,2.2,8.9,2021-07-28 11:47:20,2.2,134
151891,2021-07-28 13:00:00,22.6,21.1,2021-07-28 12:13:50,25.0,2021-07-28 12:58:20,4,30.12,13.32,13.30,0.08,5.63,762,2.2,8.9,2021-07-28 12:58:50,2.2,130
151892,2021-07-28 14:00:00,23.7,21.7,2021-07-28 13:00:10,25.8,2021-07-28 13:32:40,4,30.11,13.30,13.27,0.10,5.63,797,2.2,8.9,2021-07-28 13:43:40,2.2,146
-1,2021-07-28 14:30:21,25.0,25.0,2021-07-28 14:30:21,25.0,2021-07-28 14:30:21,4,30.13,12.84,12.84,0.10,5.63,0,0.0,0.0,2021-07-28 14:30:21,0.0,198
-1,2021-07-28 14:31:22,25.0,25.0,2021-07-28 14:31:22,25.0,2021-07-28 14:31:22,4,30.13,12.80,12.80,0.10,5.63,2,0.0,0.0,2021-07-28 14:31:22,0.0,198
-1,2021-07-28 14:32:27,24.9,24.9,2021-07-28 14:32:27,24.9,2021-07-28 14:32:27,4,30.14,12.83,12.83,0.10,5.63,0,0.0,0.0,2021-07-28 14:32:27,0.0,198
-1,2021-07-28 14:33:30,24.9,24.9,2021-07-28 14:33:30,24.9,2021-07-28 14:33:30,4,30.14,12.79,12.79,0.10,5.63,2,0.0,0.0,2021-07-28 14:33:30,0.0,198
-1,2021-07-28 14:34:30,25.0,25.0,2021-07-28 14:34:30,25.0,2021-07-28 14:34:30,4,30.13,12.79,12.79,0.10,5.63,1,0.0,0.0,2021-07-28 14:34:30,0.0,198
-1,2021-07-28 14:35:31,25.0,25.0,2021-07-28 14:35:31,25.0,2021-07-28 14:35:31,4,30.13,12.77,12.77,0.10,5.63,1,0.0,0.0,2021-07-28 14:35:31,0.0,198
-1,2021-07-28 14:36:31,25.0,25.0,2021-07-28 14:36:31,25.0,2021-07-28 14:36:31,4,30.14,12.77,12.77,0.10,5.63,2,0.0,0.0,2021-07-28 14:36:31,0.0,198
-1,2021-07-28 14:38:05,24.9,24.9,2021-07-28 14:38:05,24.9,2021-07-28 14:38:05,4,30.14,12.75,12.75,0.10,5.63,2,0.0,0.0,2021-07-28 14:38:05,0.0,198
-1,2021-07-28 14:39:05,25.0,25.0,2021-07-28 14:39:05,25.0,2021-07-28 14:39:05,4,30.14,12.74,12.74,0.10,5.63,2,0.0,0.0,2021-07-28 14:39:05,0.0,198
-1,2021-07-28 14:40:06,24.9,24.9,2021-07-28 14:40:06,24.9,2021-07-28 14:40:06,4,30.14,12.74,12.74,0.10,5.63,1,0.0,0.0,2021-07-28 14:40:06,0.0,198
-1,2021-07-28 14:41:06,24.8,24.8,2021-07-28 14:41:06,24.8,2021-07-28 14:41:06,4,30.14,12.72,12.72,0.10,5.63,0,0.0,0.0,2021-07-28 14:41:06,0.0,198
-1,2021-07-28 14:42:07,24.9,24.9,2021-07-28 14:42:07,24.9,2021-07-28 14:42:07,4,30.13,12.73,12.73,0.10,5.63,1,0.0,0.0,2021-07-28 14:42:07,0.0,198
-1,2021-07-28 14:43:07,24.7,24.7,2021-07-28 14:43:07,24.7,2021-07-28 14:43:07,4,30.13,12.71,12.71,0.10,5.63,1,0.0,0.0,2021-07-28 14:43:07,0.0,198
